245342,Peninsula Grand,Mumbai,Sakinaka junction,4,https://www.booking.com/hotel/in/peninsula-grand.html,7824907,81
246222,Residency Hotel Andheri,Mumbai,"Suren Road, Opp, Cinemax Theatre,Andheri-Kurla Road",3,https://www.booking.com/hotel/in/residency-mumbai-400-093.html,11095416,40
246230,Grand Hotel,Agra,"137, Station Road, Agra Cantt",3,https://www.booking.com/hotel/in/grand.html,5733554,71
246255,Umaid Bhawan - A Heritage Style Boutique Hotel,Jaipur,D1-2A Behari Marg Via Bank Road Bani Park,4,https://www.booking.com/hotel/in/umaid-bhawan.html,10940112,68
246806,Ramada Plaza By Wyndham Palm Grove,Mumbai,"Juhu Tara Road, Juhu Beach",5,https://www.booking.com/hotel/in/ramada-plaza-palm-grove.html,10945268,115
248094,Residency Hotel Fort,Mumbai,"26 Rustom Sidhwa Marg, Corner of D.N. Road, Fort",3,https://www.booking.com/hotel/in/residency-mumbai.html,11175493,39
249392,KK Royal Hotel & Convention Centre,Jaipur,Delhi Road,4,https://www.booking.com/hotel/in/kk-royal.html,10021639,111
249397,Umaid Mahal - A Heritage Style Boutique Hotel,Jaipur,C-20 B-2 Behari marg off Jaisingh Highway Bani Park,4,https://www.booking.com/hotel/in/umaid-mahal-jaipur.html,10839500,26
249628,The Hans,New Delhi,15 Barakhamba Road Connaught Place,4,https://www.booking.com/hotel/in/the-hans-new-delhi.html,8887169,70
249943,"Marriott Executive Apartment - Lakeside Chalet, Mumbai",Mumbai,"# 2 & 3B, Near Chinmayanand Ashram, Powai",5,https://www.booking.com/hotel/in/marriott-executive-apartments.html,11094108,13
249948,Ratnawali – A Vegetarian Heritage Hotel,Jaipur,"New Colony, Near Panch Batti, M.I.Road,",3,https://www.booking.com/hotel/in/ratnawali.html,9950841,27
249951,The Leela Mumbai,Mumbai,Sahar Road,5,https://www.booking.com/hotel/in/the-leela-mumbai.html,11191650,3940
250170,JW Marriott Mumbai Juhu,Mumbai,Juhu Tara Road,5,https://www.booking.com/hotel/in/j-w-marriott-mumbai-india.html,11185723,355
250176,The Leela Palace New Delhi,New Delhi,"Diplomatic Enclave, Chanakyapuri",5,https://www.booking.com/hotel/in/the-leela-palace-new-delhi.html,11189442,254
250428,Courtyard by Marriott Gurugram Downtown,Gurgaon,"Plot No- 27 B, Sector Road, B Block, Sushant Lok-1, Sector 27",5,https://www.booking.com/hotel/in/courtyard-by-marriott-gurgaon.html,10442022,266
250432,The Leela Ambience Gurugram Hotel & Residences,Gurgaon,National Highway 8,5,https://www.booking.com/hotel/in/the-leela-gurgaon-delhi-n-c-r.html,11139856,429
250654,The Golkonda Hotel,Hyderabad,"Banjara Hills, Masab Tank",4,https://www.booking.com/hotel/in/the-golkonda-hyderabad.html,10064885,139
250831,Monarch Luxur - Infantry Road,Bangalore,# 67 Infantry Road,4,https://www.booking.com/hotel/in/monarch-luxur.html,8532137,76
251161,Vesta Maurya Palace,Jaipur,"S-35A, Arvind Marg, Near M.I. Road",4,https://www.booking.com/hotel/in/vesta-maurya-palace.html,8749951,52
251353,The LaLiT Golf & Spa Resort Goa,Canacona,Rajbaga,5,https://www.booking.com/hotel/in/intercontinental-the-lalit-goa-resort.html,9899645,182
251356,Four Points by Sheraton Bengaluru Whitefield,Bangalore,#43/3 Whitefield Main Road,4,https://www.booking.com/hotel/in/four-points-bengaluru-whitefield.html,10147995,105
251363,Park Inn Gurgaon,Gurgaon,Civil Lines,4,https://www.booking.com/hotel/in/park-inn-gurgaon.html,8262544,55
251425,"Radha Regent, Chennai",Chennai,"171 Jawahar Lal Nehru Salai, Inner Ring Road, Arumbakkam",3,https://www.booking.com/hotel/in/radha-regent-chennai-chennai.html,8994860,53
251654,The St Regis Goa Resort,Cavelossim,Mobor,5,https://www.booking.com/hotel/in/the-st-regis-goa-resort.html,11126085,205
251656,Aditya Park-A Sarovar Portico Hotel,Hyderabad,"Aditya Trade Centre, Ameerpet",4,https://www.booking.com/hotel/in/aditya-park-hyderabad-hyderabad.html,10810379,88
251658,"Lemon Tree Premier 2, Gurugram",Gurgaon,Sector 29,4,https://www.booking.com/hotel/in/lemon-tree-premier-leisure-valley-two.html,7063387,26
